date,new_con,fine_dust
2020-07-03,53.85714,13.17647059
2020-07-04,53.71429,9.058823529
2020-07-05,54.28571,14.11764706
2020-07-06,54.42857,14.52941176
2020-07-07,56.28571,12.70588235
2020-07-08,55.57143,18.17647059
2020-07-09,53,23.70588235
2020-07-10,49,8.647058824
2020-07-11,46.57143,11.11764706
2020-07-12,48.85714,8.294117647
2020-07-13,47.28571,3.941176471
2020-07-14,43.85714,3.764705882
2020-07-15,45.57143,5.882352941
2020-07-16,47.71429,11.35294118
2020-07-17,48.28571,16.88235294
2020-07-18,46.85714,16.17647059
2020-07-19,41.71429,12.05882353
2020-07-20,43.42857,8.176470588
2020-07-21,46.85714,12
2020-07-22,46.57143,12.05882353
2020-07-23,43.85714,7.764705882
2020-07-24,54.42857,4.117647059
2020-07-25,57.85714,6
2020-07-26,57.71429,8.470588235
2020-07-27,55.28571,15.23529412
2020-07-28,53.14286,7.588235294
2020-07-29,47.28571,7.294117647
2020-07-30,46.57143,7.823529412
2020-07-31,34.85714,9.529411765
2020-08-01,30.85714,10.29411765
2020-08-02,30.57143,12.58823529
2020-08-03,31.42857,16.35294118
2020-08-04,29.28571,26.47058824
2020-08-05,32.85714,18.35294118
2020-08-06,30.57143,11.6875
2020-08-07,32.28571,15.23529412
2020-08-08,33.14286,5.764705882
2020-08-09,33.85714,4.764705882
2020-08-10,33.85714,4.529411765
2020-08-11,36.85714,7.235294118
2020-08-12,38.71429,8.882352941
2020-08-13,50.57143,9.352941176
2020-08-14,68.14286,12.88235294
2020-08-15,102.85714,15.05882353
2020-08-16,127,11.58823529
2020-08-17,157.28571,16.17647059
2020-08-18,192,21.64705882
2020-08-19,225.14286,27.76470588
2020-08-20,256.71429,26.88235294
2020-08-21,280.42857,24.17647059
2020-08-22,297.28571,17.70588235
2020-08-23,307.14286,14.35294118
2020-08-24,312,18.70588235
2020-08-25,315.28571,21.17647059
2020-08-26,337.14286,12.9375
2020-08-27,343.85714,11.64705882
2020-08-28,342.57143,9.647058824
2020-08-29,328.57143,6.470588235
2020-08-30,326,7.588235294
2020-08-31,319.57143,6
2020-09-01,312,7.941176471
2020-09-02,276.85714,6.9375
2020-09-03,252.14286,10.52941176
2020-09-04,230,19.17647059
2020-09-05,211.14286,21.47058824
2020-09-06,192.71429,10.70588235
2020-09-07,178.57143,5.882352941
2020-09-08,162.71429,24.41176471
2020-09-09,157,19.17647059
2020-09-10,153.85714,18.23529412
2020-09-11,149.28571,19
2020-09-12,142.71429,7
2020-09-13,141.28571,5.470588235
2020-09-14,137,11.05882353
2020-09-15,130.85714,16.58823529
2020-09-16,130.57143,12.88235294
2020-09-17,123.42857,12.47058824
2020-09-18,119.71429,10.88235294
2020-09-19,114.14286,11.35294118
2020-09-20,108.57143,11.41176471
2020-09-21,102.14286,12.58823529
2020-09-22,101.71429,8.941176471
2020-09-23,97.71429,5.647058824
2020-09-24,96,6.058823529
2020-09-25,89,7.764705882
2020-09-26,90.85714,8.176470588
2020-09-27,88,8.058823529
2020-09-28,84.71429,10.76470588
2020-09-29,85.14286,14.64705882
2020-09-30,78.28571,17.11764706
2020-10-01,71,13.64705882
2020-10-02,73,13.64705882
2020-10-03,68.57143,17.11764706
2020-10-04,71.85714,16.47058824
2020-10-05,77.14286,8.705882353
2020-10-06,77.28571,10
2020-10-07,76.14286,10.41176471
2020-10-08,74.85714,6.764705882
2020-10-09,74.42857,8.588235294
2020-10-10,73.57143,10.82352941
2020-10-11,77,12.76470588
2020-10-12,80.85714,18.58823529
2020-10-13,76.57143,12.47058824
2020-10-14,80.85714,14.94117647
2020-10-15,79.85714,13.25
2020-10-16,80,19.58823529
2020-10-17,84.71429,20.94117647
2020-10-18,81.71429,18.76470588
2020-10-19,75.42857,24.52941176
2020-10-20,76.42857,29.58823529
2020-10-21,79.28571,25.17647059
2020-10-22,94.71429,21.64705882
2020-10-23,95.28571,9.176470588
2020-10-24,91,9.058823529
2020-10-25,97.14286,13.41176471
2020-10-26,101.42857,22.76470588
2020-10-27,103.14286,37.76470588
2020-10-28,104,36.52941176
2020-10-29,98.14286,15
2020-10-30,105.14286,19
2020-10-31,114.14286,16.11764706
2020-11-01,111,17.41176471
2020-11-02,109.14286,15.29411765
2020-11-03,111.28571,9.117647059
2020-11-04,111.28571,10.58823529
2020-11-05,115.71429,18.11764706
2020-11-06,110.42857,27.64705882
2020-11-07,113.14286,31.11764706
2020-11-08,117.28571,19.17647059
2020-11-09,120.85714,9.117647059
2020-11-10,124.85714,13.64705882
2020-11-11,127.42857,19.29411765
2020-11-12,134,27.11764706
2020-11-13,150.57143,36.11764706
2020-11-14,159.85714,33.88235294
2020-11-15,173.71429,31.17647059
2020-11-16,192.14286,42.35294118
2020-11-17,216,38.94117647
2020-11-18,244.57143,23.47058824
2020-11-19,269.14286,8.176470588
2020-11-20,295,10.94117647
2020-11-21,312.42857,15.23529412
2020-11-22,319.28571,13.29411765
2020-11-23,336.42857,12.52941176
2020-11-24,346.28571,14.70588235
2020-11-25,380.57143,19.94117647
2020-11-26,410,31.70588235
2020-11-27,424.57143,24
2020-11-28,441.57143,11.05882353
2020-11-29,456.71429,11.58823529
2020-11-30,471.28571,13.94117647
2020-12-01,489.71429,18.23529412
2020-12-02,483.57143,16.94117647
2020-12-03,492.14286,14.76470588
2020-12-04,505.71429,15.11764706
2020-12-05,531.71429,20.64705882
2020-12-06,565.71429,26
2020-12-07,586.14286,36.11764706
2020-12-08,609.85714,18.88235294
2020-12-09,627.85714,21.05882353
2020-12-10,636.28571,29.76470588
2020-12-11,688.71429,46.58823529
2020-12-12,745.71429,33.47058824
2020-12-13,760.42857,25.82352941
2020-12-14,801.28571,7.941176471
2020-12-15,858.57143,9.823529412
2020-12-16,907.85714,10.94117647
2020-12-17,961.28571,13.52941176
2020-12-18,976.28571,21.70588235
2020-12-19,985.57143,10.58823529
2020-12-20,,14.11764706
2020-12-21,,18.35294118
